Giornata,SetGioc.,PUNTI_Tot,PUNTI_Vin,PUNTI_BP,BATTUTA_Tot,BATTUTA_Ace,BATTUTA_Err.,BATTUTA_AceperSet,BATTUTA_Effic.,RICEZIONE_Tot,RICEZIONE_Err.,RICEZIONE_Neg.,RICEZIONE_Prf.,RICEZIONE_Prf..,RICEZIONE_Effic.,ATTACCO_Tot,ATTACCO_Err.,ATTACCO_Murati,ATTACCO_Prf.,ATTACCO_Prf..,ATTACCO_Effic.,MURO_Prf.,MURO_PuntiperSet,team,risultato,vit,cum
Ritorno_4,3,49,28,21,73,5,10,1.67,-0.07,46,3,21,11,23.9,0.17,75,7,4,39,52,0.43,5,1.67,Tonno Callipo Calabria Vibo Valentia,3,1,8
Ritorno_5,4,51,35,16,89,8,18,2,-0.11,79,4,41,17,21.5,0.16,111,8,11,34,30.6,0.23,9,2.25,Tonno Callipo Calabria Vibo Valentia,1,0,8
Ritorno_6,3,49,34,15,66,7,12,2.33,-0.08,61,5,23,18,29.5,0.21,80,5,6,36,45,0.39,6,2,Tonno Callipo Calabria Vibo Valentia,0,0,8
Ritorno_7,4,41,31,10,72,1,10,0.25,-0.12,75,7,36,21,28,0.19,84,5,7,35,41.7,0.36,5,1.25,Tonno Callipo Calabria Vibo Valentia,1,0,8
Ritorno_8,5,78,51,27,112,5,20,1,-0.13,94,16,30,29,30.9,0.14,124,10,13,58,46.8,0.39,15,3,Tonno Callipo Calabria Vibo Valentia,3,1,9
Ritorno_9,4,59,36,23,90,7,14,1.75,-0.08,78,3,37,29,37.2,0.33,113,11,9,46,40.7,0.31,6,1.5,Tonno Callipo Calabria Vibo Valentia,1,0,9
Ritorno_10,3,46,32,14,72,4,13,1.33,-0.12,68,8,20,22,32.4,0.21,85,8,11,35,41.2,0.32,7,2.33,Tonno Callipo Calabria Vibo Valentia,0,0,9
Ritorno_11,4,62,42,20,102,7,18,1.75,-0.11,79,9,37,21,26.6,0.15,95,2,11,49,51.6,0.49,6,1.5,Tonno Callipo Calabria Vibo Valentia,1,0,9
Ritorno_12,4,61,43,18,87,8,12,2,-0.05,79,8,31,19,24.1,0.14,108,9,10,44,40.7,0.32,9,2.25,Tonno Callipo Calabria Vibo Valentia,3,1,10
Ritorno_13,4,80,48,32,100,9,14,2.25,-0.05,88,3,41,30,34.1,0.31,121,9,14,62,51.2,0.44,9,2.25,Tonno Callipo Calabria Vibo Valentia,3,1,11
